Mês,Massa Salarial,Taxa de desemprego,IPCA,Goiás,,,,x,y,xy,x²,y²,
jan.-19,"225,5",12,100,"146,7",,Média MS,,"-3,53","36,57","-129,23","12,48","1.337,73",
fev.-19,"225,2","12,4","100,4","108,3",,"223,03",,"-3,13","-1,83","5,72","9,82","3,33",
mar.-19,"224,4","12,7","101,2","119,8",,,,"-2,33","9,67","-22,58","5,44","93,61",
abr.-19,"224,6","12,5","101,8","118,5",,Média TD,,"-1,73","8,38","-14,52","3,00","70,14",
mai.-19,"224,3","12,3","101,9","125,1",,"12,59",,"-1,63","14,97","-24,46","2,67","224,25",
jun.-19,225,12,"101,9","131,5",,,,"-1,63","21,38","-34,91","2,67","456,89",
jul.-19,"224,9","11,8","102,1","162,4",,Média IPCA ,,"-1,43","52,28","-74,93","2,05","2.732,68",
ago.-19,"226,1","11,8","102,2","133,5",,"103,53",,"-1,33","23,38","-31,17","1,78","546,39",
set.-19,"226,4","11,8","102,2",123,,,,"-1,33","12,88","-17,17","1,78","165,77",
out.-19,"228,9","11,6","102,3","132,3",,Média Goias,,"-1,23","22,18","-27,35","1,52","491,73",
nov.-19,"230,9","11,2","102,8","131,1",,"110,125",,"-0,73","20,97","-15,38","0,54","439,95",              
dez.-19,"230,8",11,104,"153,9",,,,"0,47","43,78","20,43","0,22","1.916,25",
jan.-20,"230,5","11,2","104,2","151,6",,,,"0,67","41,47","27,65","0,44","1.720,18",
fev.-20,"229,5","11,6","104,5","117,8",,,,"0,97","7,67","7,42","0,93","58,91",
mar.-20,"227,7","12,2","104,5","79,8",,,,"0,97","-30,33","-29,31","0,93","919,61",
abr.-20,"222,8","12,6","104,2","36,6",,,,"0,67","-73,53","-49,02","0,44","5.405,93",
mai.-20,218,"12,9","103,8",44,,,,"0,27","-66,13","-17,63","0,07","4.372,52",
jun.-20,215,"13,3","104,1","48,4",,,,"0,57","-61,73","-34,98","0,32","3.809,98",
jul.-20,"214,3","13,8","104,4","61,4",,,,"0,87","-48,73","-42,23","0,75","2.374,13",
ago.-20,"213,2","14,5","104,7","73,5",,,,"1,17","-36,63","-42,73","1,36","1.341,39",
set.-20,"215,2","14,6","105,4","84,9",,,,"1,87","-25,22","-47,09","3,48","636,30",
out.-20,"216,7","14,3","106,3","105,5",,,,"2,77","-4,63","-12,80","7,65","21,39",
nov.-20,"217,2","14,1","107,2","113,8",,,,"3,67","3,67","13,47","13,44","13,51",
dez.-20,"215,7","13,9","108,7","139,6",,,,"5,17","29,47","152,29","26,69","868,78",
,,,,,,,Total,"0,00","0,00","-440,49","100,51","30.021,31",
