Mês,Massa Salarial,Taxa de desemprego,IPCA,Goiás
jan.-19,225.5,12,100,146.7
fev.-19,225.2,12.4,100.4,108.3
mar.-19,224.4,12.7,101.2,119.8
abr.-19,224.6,12.5,101.8,118.5
mai.-19,224.3,12.3,101.9,125.1
jun.-19,225,12,101.9,131.5
jul.-19,224.9,11.8,102.1,162.4
ago.-19,226.1,11.8,102.2,133.5
set.-19,226.4,11.8,102.2,123
out.-19,228.9,11.6,102.3,132.3
nov.-19,230.9,11.2,102.8,131.1
dez.-19,230.8,11,104,153.9
jan.-20,230.5,11.2,104.2,151.6
fev.-20,229.5,11.6,104.5,117.8
mar.-20,227.7,12.2,104.5,79.8
abr.-20,222.8,12.6,104.2,36.6
mai.-20,218,12.9,103.8,44
jun.-20,215,13.3,104.1,48.4
jul.-20,214.3,13.8,104.4,61.4
ago.-20,213.2,14.5,104.7,73.5
set.-20,215.2,14.6,105.4,84.9
out.-20,216.7,14.3,106.3,105.5
nov.-20,217.2,14.1,107.2,113.8
dez.-20,215.7,13.9,108.7,139.6
