Seleção,1st,2nd,3rd,4th,Oitavas,Quartas,Semis,Final,Campeão
Brasil,0.408,0.264,0.21,0.118,0.672,0.404,0.249,0.142,0.08
Argentina,0.393,0.282,0.189,0.136,0.675,0.403,0.236,0.137,0.079
Bélgica,0.381,0.275,0.197,0.147,0.656,0.359,0.194,0.124,0.069
Inglaterra,0.344,0.251,0.222,0.183,0.595,0.349,0.187,0.106,0.063
França,0.37,0.262,0.225,0.143,0.632,0.34,0.179,0.091,0.058
Espanha,0.347,0.284,0.219,0.15,0.631,0.334,0.174,0.105,0.052
Portugal,0.386,0.265,0.207,0.142,0.651,0.325,0.174,0.091,0.045
Holanda,0.4,0.298,0.201,0.101,0.698,0.361,0.202,0.098,0.045
Uruguai,0.328,0.309,0.238,0.125,0.637,0.332,0.157,0.086,0.042
México,0.266,0.3,0.271,0.163,0.566,0.284,0.148,0.077,0.039
Dinamarca,0.282,0.312,0.24,0.166,0.594,0.301,0.155,0.079,0.037
Estados Unidos,0.263,0.276,0.237,0.224,0.539,0.3,0.142,0.062,0.033
Croácia,0.282,0.258,0.26,0.2,0.54,0.284,0.144,0.071,0.033
Alemanha,0.299,0.26,0.228,0.213,0.559,0.297,0.148,0.075,0.032
Marrocos,0.201,0.246,0.278,0.275,0.447,0.205,0.095,0.051,0.029
Senegal,0.32,0.281,0.214,0.185,0.601,0.276,0.13,0.061,0.029
Suíça,0.26,0.274,0.25,0.216,0.534,0.28,0.127,0.058,0.026
País de Gales,0.209,0.246,0.268,0.277,0.455,0.25,0.12,0.052,0.023
Polônia,0.214,0.242,0.288,0.256,0.456,0.228,0.109,0.049,0.023
Irã,0.184,0.227,0.273,0.316,0.411,0.212,0.093,0.051,0.022
Tunísia,0.198,0.235,0.261,0.306,0.433,0.197,0.094,0.042,0.02
Sérvia,0.2,0.25,0.278,0.272,0.45,0.214,0.112,0.053,0.02
Japão,0.197,0.253,0.285,0.265,0.45,0.21,0.113,0.04,0.016
Coreia do Sul,0.222,0.271,0.289,0.218,0.493,0.217,0.095,0.039,0.014
Canadá,0.136,0.221,0.265,0.378,0.357,0.153,0.061,0.024,0.014
Costa Rica,0.157,0.203,0.268,0.372,0.36,0.158,0.075,0.025,0.014
Austrália,0.15,0.191,0.274,0.385,0.341,0.145,0.072,0.026,0.012
Camarões,0.132,0.212,0.262,0.394,0.344,0.15,0.058,0.024,0.01
Catar,0.131,0.164,0.308,0.397,0.295,0.103,0.04,0.013,0.007
Arábia Saudita,0.127,0.176,0.252,0.445,0.303,0.102,0.041,0.017,0.006
Equador,0.149,0.257,0.277,0.317,0.406,0.149,0.052,0.024,0.005
Gana,0.064,0.155,0.266,0.515,0.219,0.078,0.024,0.007,0.003
